index,video_url,video_path,video_filename,caption,physics,sa,source,states_of_matter,complexity
0,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/An_apple_falls_and_bounces_on_the_hard_ground._1.mp4,data/videophy/videos/An_apple_falls_and_bounces_on_the_hard_ground._1.mp4,An_apple_falls_and_bounces_on_the_hard_ground._1.mp4,An apple falls and bounces on the hard ground.,0,1,lavie,solid_solid,0
1,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Tearing_paper_with_hands._1.mp4,data/videophy/videos/Tearing_paper_with_hands._1.mp4,Tearing_paper_with_hands._1.mp4,Tearing paper with hands.,0,1,lavie,solid_solid,1
2,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/The_teapot_pours_hot_tea_into_the_cup._1.mp4,data/videophy/videos/The_teapot_pours_hot_tea_into_the_cup._1.mp4,The_teapot_pours_hot_tea_into_the_cup._1.mp4,The teapot pours hot tea into the cup.,1,1,lavie,solid_fluid,0
3,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Silk_scarf_tumbles_off_a_wooden_hanger._1.mp4,data/videophy/videos/Silk_scarf_tumbles_off_a_wooden_hanger._1.mp4,Silk_scarf_tumbles_off_a_wooden_hanger._1.mp4,Silk scarf tumbles off a wooden hanger.,1,0,lavie,solid_solid,0
4,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/A_chisel_breaks_the_stone_into_smaller_pieces._1.mp4,data/videophy/videos/A_chisel_breaks_the_stone_into_smaller_pieces._1.mp4,A_chisel_breaks_the_stone_into_smaller_pieces._1.mp4,A chisel breaks the stone into smaller pieces.,0,0,lavie,solid_solid,1
5,https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Steam_radiating_from_a_hot_soup._1.mp4,data/videophy/videos/Steam_radiating_from_a_hot_soup._1.mp4,Steam_radiating_from_a_hot_soup._1.mp4,Steam radiating from a hot soup.,1,1,lavie,fluid_fluid,0
6,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/A_peeler_removes_the_skin_of_an_orange._1.mp4,data/videophy/videos/A_peeler_removes_the_skin_of_an_orange._1.mp4,A_peeler_removes_the_skin_of_an_orange._1.mp4,A peeler removes the skin of an orange.,0,0,lavie,solid_solid,1
7,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Sweeping_dust_with_a_broom._1.mp4,data/videophy/videos/Sweeping_dust_with_a_broom._1.mp4,Sweeping_dust_with_a_broom._1.mp4,Sweeping dust with a broom.,0,1,lavie,solid_solid,1
8,https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Raindrops_dissolve_into_the_ocean_1.mp4,data/videophy/videos/Raindrops_dissolve_into_the_ocean_1.mp4,Raindrops_dissolve_into_the_ocean_1.mp4,Raindrops dissolve into the ocean.,0,0,lavie,fluid_fluid,0
9,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/A_broom_drags_across_the_dirty_ceramic_floor._1.mp4,data/videophy/videos/A_broom_drags_across_the_dirty_ceramic_floor._1.mp4,A_broom_drags_across_the_dirty_ceramic_floor._1.mp4,A broom drags across the dirty ceramic floor.,1,1,lavie,solid_solid,1
10,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Marble_rolls_down_a_slanted_wooden_table._1.mp4,data/videophy/videos/Marble_rolls_down_a_slanted_wooden_table._1.mp4,Marble_rolls_down_a_slanted_wooden_table._1.mp4,Marble rolls down a slanted wooden table.,0,0,lavie,solid_solid,0
11,https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Chocolate_melds_richly_into_milk._1.mp4,data/videophy/videos/Chocolate_melds_richly_into_milk._1.mp4,Chocolate_melds_richly_into_milk._1.mp4,Chocolate melds richly into milk.,0,0,lavie,fluid_fluid,1
12,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Cork_twists_inside_the_mouth_of_a_wine_bottle._1.mp4,data/videophy/videos/Cork_twists_inside_the_mouth_of_a_wine_bottle._1.mp4,Cork_twists_inside_the_mouth_of_a_wine_bottle._1.mp4,Cork twists inside the mouth of a wine bottle.,0,0,lavie,solid_solid,1
13,https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/An_egg_beater_beats_egg_white_into_a_fluffy_cloud._1.mp4,data/videophy/videos/An_egg_beater_beats_egg_white_into_a_fluffy_cloud._1.mp4,An_egg_beater_beats_egg_white_into_a_fluffy_cloud._1.mp4,An egg beater beats egg white into a fluffy cloud.,1,0,lavie,solid_fluid,1
14,https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Water_diluting_thick_acrylic_paint._1.mp4,data/videophy/videos/Water_diluting_thick_acrylic_paint._1.mp4,Water_diluting_thick_acrylic_paint._1.mp4,Water diluting thick acrylic paint.,0,0,lavie,fluid_fluid,1
15,https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Shoe_squishes_a_bug._1.mp4,data/videophy/videos/Shoe_squishes_a_bug._1.mp4,Shoe_squishes_a_bug._1.mp4,Shoe squishes a bug.,0,0,lavie,solid_solid,1
