,ground truth outcome
pilot_dominoes_4mid_boxroom_2_0002_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0018_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0009_img,False
pilot_dominoes_1mid_J025R45_boxroom_0009_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0022_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0019_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0016_img,True
pilot_dominoes_4midRM1_tdwroom_2_0002_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0001_img,True
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0026_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0028_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0024_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0020_img,False
pilot_dominoes_4mid_boxroom_0003_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0001_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0027_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0023_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0003_img,True
pilot_dominoes_4midRM1_boxroom_2_0005_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0020_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0002_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0021_img,False
pilot_dominoes_1mid_J025R45_boxroom_0000_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0024_img,False
pilot_dominoes_1mid_J025R45_boxroom_0007_img,False
pilot_dominoes_1mid_J025R45_boxroom_0015_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0025_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0004_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0005_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0004_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0010_img,True
pilot_dominoes_1mid_J025R45_boxroom_0017_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0005_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0024_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0002_img,True
pilot_dominoes_4mid_boxroom_2_0004_img,True
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0000_img,True
pilot_dominoes_4midRM1_boxroom_2_0004_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0012_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0002_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0025_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0020_img,True
pilot_dominoes_4mid_tdwroom_0005_img,True
pilot_dominoes_4midRM1_tdwroom_0000_img,False
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0008_img,False
pilot_dominoes_1mid_J025R45_o1full_tdwroom_0002_img,True
pilot_dominoes_1mid_J025R45_boxroom_0027_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0016_img,False
pilot_dominoes_1mid_J025R45_boxroom_0006_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0021_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0021_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0024_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_2_0022_img,False
pilot_dominoes_2mid_J025R30_tdwroom_0007_img,True
pilot_dominoes_SJ020_d3chairs_o1plants_tdwroom_0018_img,True
pilot_dominoes_2mid_J025R30_tdwroom_0028_img,True
pilot_dominoes_4midRM1_tdwroom_0003_img,False
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom_0013_img,False
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0023_img,True
pilot_dominoes_4mid_boxroom_0002_img,True
pilot_dominoes_2mid_J020R15_d3chairs_o1plants_tdwroom_0021_img,True
